Stock Code,PORTFOLIO_WEIGHTS
ACLGATI,0.013312161253717952
ASHOKA,0.015228592806671944
BAJAJHIND,0.053562138374363195
BAJAJHLDNG,0.02741458475423372
DHANI,0.05145019645749865
GOCLCORP,0.04454579110090186
HLVLTD,0.015856850920977945
HONAUT,0.0038978181704629193
IL&FSTRANS,0.014783396132414478
IRB,0.03454150881016797
JUBLPHARMA,0.033687565071120244
KIRLOSIND,0.054699951811927876
MOTILALOFS,0.032197248115837136
NAUKRI,0.03378661151262443
PEL,0.0014685557546760032
PFIZER,0.18990496376488009
RPOWER,0.1563784179716834
SAMMAANCAP,0.03605406768615666
SECURKLOUD,0.10825316963704919
THOMASCOOK,0.0162094684878256
TORNTPHARM,0.03920569677295078
ZEEMEDIA,0.02356124463185791
